,funding_rounds,funding_duration_days,total_investment,years_to_first_funding,country_code_encoded,market_encoded,status_encoded
208,1.0,0,2000000.0,2.6410958904109587,49,25,2
209,5.0,1479,25250000.0,2.643835616438356,49,8,2
211,2.0,396,12000000.0,0.29315068493150687,49,19,2
212,2.0,446,6700000.0,1.8630136986301369,49,23,0
213,2.0,560,52588928.0,1.641095890410959,21,11,2
214,5.0,1057,23857750.0,0.3041095890410959,13,23,2
215,3.0,1250,6528902.0,3.1095890410958904,49,6,1
216,1.0,0,1613014.0,14.435616438356165,49,2,2
217,5.0,810,2450000.0,1.0493150684931507,49,19,2
218,1.0,0,190035.0,2.8109589041095893,17,19,2
220,1.0,0,650000.0,0.7671232876712328,36,5,1
221,1.0,0,1500000.0,2.2739726027397262,49,16,2
222,5.0,1071,11110000.0,2.947945205479452,49,3,2
223,1.0,0,47566.0,1.2657534246575342,19,22,2
224,4.0,3007,20100000.0,1.6684931506849314,19,19,0
225,1.0,0,1136548.0,7.3342465753424655,10,11,2
226,2.0,266,460775.0,0.821917808219178,49,23,2
227,3.0,610,3989751.0,1.3315068493150686,10,11,2
228,4.0,1018,9850000.0,5.002739726027397,49,25,2
229,2.0,1448,600000.0,0.7534246575342466,49,19,2
230,2.0,84,269260.0,0.08767123287671233,34,19,2
231,3.0,941,18500000.0,-0.3780821917808219,21,19,2
232,3.0,1359,34000000.0,3.526027397260274,10,25,2
233,1.0,0,100000.0,1.1369863013698631,49,6,2
234,1.0,0,5100000.0,0.8794520547945206,49,14,2
235,2.0,76,27000000.0,1.2027397260273973,49,19,2
236,2.0,150,140000.0,1.0,19,0,2
238,2.0,184,79501.0,0.07397260273972603,43,19,2
239,3.0,490,15590000.0,1.0410958904109588,49,6,0
240,2.0,671,2779980.0,4.219178082191781,49,19,2
241,1.0,0,24600000.0,2.8684931506849316,10,24,2
242,1.0,0,150000.0,2.504109589041096,43,17,2
243,1.0,0,30608728.0,24.76986301369863,49,19,0
244,2.0,54,4500000.0,0.5232876712328767,49,4,2
245,3.0,734,17700000.0,0.6794520547945205,49,16,2
246,2.0,323,23800000.0,2.347945205479452,19,18,2
247,1.0,0,100000.0,0.1726027397260274,26,19,2
248,1.0,0,30000000.0,1.2493150684931507,10,17,0
249,1.0,0,1000000.0,4.8273972602739725,24,17,2
250,4.0,2424,81574271.0,1.3150684931506849,10,19,2
251,1.0,0,35000000.0,3.2383561643835614,49,19,2
252,2.0,63,105651.0,2.243835616438356,2,9,2
253,1.0,0,20000.0,0.4520547945205479,24,6,2
255,3.0,964,210000.0,-0.2054794520547945,24,23,2
256,2.0,49,80000.0,0.0,10,19,1
257,2.0,1095,9600000.0,-0.16164383561643836,10,6,2
258,1.0,0,70000.0,0.0,42,19,1
259,3.0,334,1432051.0,0.38082191780821917,29,0,2
260,2.0,440,2800000.0,3.3753424657534246,21,22,2
261,2.0,47,4100000.0,2.6986301369863015,49,19,2
